id,img_1,img_2,regions_id_1,regions_id_2,created_at,updated_at,category,category_x,is_manual,score,similarity_type
30002090,"wit76_pdf76_0319_651,1563,183,236.jpg","wit247_man247_0079_161,986,291,335.jpg",76,247,,2025-01-20 23:15:19.22439+00,4,,f,35.2702,1
30002092,"wit76_pdf76_0813_569,410,244,174.jpg","wit247_man247_0079_161,986,291,335.jpg",76,247,,2025-01-20 23:15:19.225974+00,4,,f,27.32006,1
30002095,"wit76_pdf76_0901_646,403,352,247.jpg","wit247_man247_0079_161,986,291,335.jpg",76,247,,2025-01-20 23:15:19.227523+00,4,,f,52.13889,1
30002098,"wit76_pdf76_0319_651,1563,183,236.jpg","wit247_man247_0079_425,536,432,454.jpg",76,247,,2025-01-20 23:15:26.255411+00,4,,f,32.41412,1
30002101,"wit76_pdf76_0901_647,421,341,217.jpg","wit247_man247_0079_425,536,432,454.jpg",76,247,,2025-01-20 23:15:26.258682+00,4,,f,32.66643,1
30002160,"wit76_pdf76_0043_72,1768,305,289.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,2025-01-21 17:39:13.67139+00,4,,f,35.58894,1
30002125,"wit76_pdf76_0901_966,2217,239,149.jpg","wit247_man247_0079_872,911,461,247.jpg",76,247,,2025-01-23 00:40:47.463619+00,4,,f,39.61162,1
30002114,"wit76_pdf76_0901_1087,2034,126,202.jpg","wit247_man247_0079_538,1153,340,336.jpg",76,247,,2025-01-20 23:21:33.952002+00,4,,f,49.86351,1
30002119,"wit76_pdf76_0319_283,1329,212,244.jpg","wit247_man247_0079_872,580,251,379.jpg",76,247,,2025-01-20 23:26:19.291338+00,4,,f,33.10858,1
30002122,"wit76_pdf76_0321_509,1548,248,392.jpg","wit247_man247_0079_872,580,251,379.jpg",76,247,,2025-01-20 23:26:19.293723+00,4,,f,27.57622,1
30002132,"wit76_pdf76_0167_496,1865,110,237.jpg","wit247_man247_0079_884,227,179,357.jpg",76,247,,2025-01-20 23:30:05.3314+00,1,,f,48.25206,1
30002173,"wit76_pdf76_0319_35,1605,206,212.jpg","wit247_man247_0081_105,1833,490,340.jpg",76,247,,2025-01-20 23:37:51.011741+00,4,,f,26.25258,1
30002109,"wit76_pdf76_0025_60,318,637,496.jpg","wit247_man247_0079_538,1153,340,336.jpg",76,247,,2025-01-21 17:09:30.321002+00,4,,f,56.3458,1
30002073,"wit76_pdf76_0051_75,2032,338,313.jpg","wit247_man247_0079_123,214,385,402.jpg",76,247,,2025-01-21 17:44:54.7463+00,4,,f,31.3484,1
30002153,"wit76_pdf76_0118_1162,1653,151,191.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,2025-01-21 17:46:02.147423+00,4,,f,30.69059,1
30002157,"wit76_pdf76_0167_859,934,216,241.jpg","wit247_man247_0079_954,1867,367,351.jpg",76,247,,2025-01-21 17:59:31.228721+00,4,,f,38.02624,1
30002129,"wit76_pdf76_0319_237,1576,204,256.jpg","wit247_man247_0079_884,227,179,357.jpg",76,247,,2025-01-22 22:13:56.247751+00,4,,f,52.98499,1
30002111,"wit76_pdf76_0901_634,191,229,235.jpg","wit247_man247_0079_538,1153,340,336.jpg",76,247,,2025-01-23 00:36:55.222237+00,4,,f,64.71181,1
30002187,"wit76_pdf76_0319_851,1779,261,173.jpg","wit247_man247_0081_1109,237,211,364.jpg",76,247,,,,,f,48.12238,1
30002190,"wit76_pdf76_0319_628,2234,455,191.jpg","wit247_man247_0081_115,478,206,188.jpg",76,247,,,,,f,36.34517,1
30002194,"wit76_pdf76_0813_569,410,244,174.jpg","wit247_man247_0081_115,478,206,188.jpg",76,247,,,,,f,46.34251,1
30002197,"wit76_pdf76_0319_851,1779,261,173.jpg","wit247_man247_0081_115,478,206,188.jpg",76,247,,,,,f,35.49279,1
30002201,"wit76_pdf76_0321_473,1930,516,192.jpg","wit247_man247_0081_115,478,206,188.jpg",76,247,,,,,f,25.51032,1
30002207,"wit76_pdf76_0321_823,1296,237,323.jpg","wit247_man247_0081_115,478,206,188.jpg",76,247,,,,,f,26.14838,1
30002210,"wit76_pdf76_0813_569,410,244,174.jpg","wit247_man247_0081_126,216,528,245.jpg",76,247,,,,,f,25.85991,1
30002213,"wit76_pdf76_0029_141,1602,485,273.jpg","wit247_man247_0081_126,216,528,245.jpg",76,247,,,,,f,26.52607,1
30002216,"wit76_pdf76_0267_538,816,375,278.jpg","wit247_man247_0081_126,216,528,245.jpg",76,247,,,,,f,39.88378,1
30002219,"wit76_pdf76_0901_647,421,341,217.jpg","wit247_man247_0081_126,216,528,245.jpg",76,247,,,,,f,27.58467,1
30002256,"wit76_pdf76_0319_261,1868,148,559.jpg","wit247_man247_0081_921,365,145,392.jpg",76,247,,,,,f,39.92033,1
30002259,"wit76_pdf76_0319_851,1779,261,173.jpg","wit247_man247_0081_921,365,145,392.jpg",76,247,,,,,f,38.95794,1
30002262,"wit76_pdf76_0319_730,842,159,389.jpg","wit247_man247_0081_921,365,145,392.jpg",76,247,,,,,f,29.44653,1
30002271,"wit76_pdf76_0167_1061,1625,152,248.jpg","wit247_man247_0083_1076,292,210,311.jpg",76,247,,,,,f,32.24363,1
30002226,"wit76_pdf76_0319_851,1779,261,173.jpg","wit247_man247_0081_133,702,235,221.jpg",76,247,,2025-01-20 23:45:16.997221+00,4,,f,25.53018,1
30002233,"wit76_pdf76_0029_141,1602,485,273.jpg","wit247_man247_0081_136,956,443,327.jpg",76,247,,2025-01-20 23:45:25.382592+00,4,,f,36.67589,1
30002235,"wit76_pdf76_0267_538,816,375,278.jpg","wit247_man247_0081_358,484,296,198.jpg",76,247,,2025-01-20 23:45:33.064326+00,4,,f,46.7832,1
30002238,"wit76_pdf76_0319_868,889,250,255.jpg","wit247_man247_0081_358,484,296,198.jpg",76,247,,2025-01-20 23:45:33.069564+00,4,,f,41.49978,1
30002240,"wit76_pdf76_0319_868,889,250,255.jpg","wit247_man247_0081_379,717,256,190.jpg",76,247,,2025-01-20 23:45:41.790743+00,4,,f,29.94648,1
30002244,"wit76_pdf76_0319_1357,895,150,393.jpg","wit247_man247_0081_379,717,256,190.jpg",76,247,,2025-01-20 23:45:41.793331+00,4,,f,35.16443,1
30002250,"wit76_pdf76_0267_26,1174,150,423.jpg","wit247_man247_0081_664,239,289,608.jpg",76,247,,2025-01-20 23:46:29.096827+00,4,,f,29.48241,1
30002268,"wit76_pdf76_0267_538,816,375,278.jpg","wit247_man247_0081_97,2026,96,119.jpg",76,247,,2025-01-20 23:48:40.00233+00,4,,f,54.24391,1
30002274,"wit76_pdf76_0167_852,1876,146,236.jpg","wit247_man247_0083_112,979,188,255.jpg",76,247,,2025-01-20 23:55:33.490841+00,4,,f,25.52784,1
30002279,"wit76_pdf76_0207_133,1727,171,555.jpg","wit247_man247_0083_193,1478,276,696.jpg",76,247,,2025-01-20 23:55:45.156547+00,4,,f,36.52453,1
